nome_arquivo,hash_origem,hash_destino,status
YLA605-002.bam.bai,822ab4a6c8bfff1b1bba6fe0fda8bf06,822ab4a6c8bfff1b1bba6fe0fda8bf06,Igual
ZXU595-001.bam,5401a59f0832094ca840ec421b5c473b,5401a59f0832094ca840ec421b5c473b,Igual
ZXU595-001.bam.bai,486b0159845346ed6454ba2c3b31b79d,486b0159845346ed6454ba2c3b31b79d,Igual
ZXU595-002.bam,3a5862def2dbced273f28ceb1c8b0122,3a5862def2dbced273f28ceb1c8b0122,Igual
ZXU595-002.bam.bai,4d6d067b9df514be1c642d123d55d202,4d6d067b9df514be1c642d123d55d202,Igual
RVH021-002.bam.bai,,46e95522a3489333f830dd9acd5f3397,Diferente
BMV966-001.bam,,8bfbcdbe2326ca11e63a0bcfc42e32fa,Diferente
BMV966-001.bam.bai,,c4ab8db1805188c0c1536ba012e84560,Diferente
BMV966-002.bam,,d57ff055f25a134376e387912b9e1c6c,Diferente
BMV966-002.bam.bai,,27c05c83ceafe9eb532f45e7d6caca74,Diferente
DRC481-001.bam,,fb4489703011842892310c25ffee8b35,Diferente
DRC481-001.bam.bai,,cfcc86220dcd18b62127ef0decff7c9a,Diferente
DRC481-002.bam,,4ca6c7307ed4a833d377be286ac492c1,Diferente
DRC481-002.bam.bai,,c435d8d0f57c93ec6a74c7ce6d6fe957,Diferente
EFS929-001.bam,,e0a758da47420eb5207d72c69fff4210,Diferente
EFS929-001.bam.bai,,70c0047faa64f232622aa5ca7e9ee752,Diferente
EFS929-002.bam,,b65d6abddedfce58fc603c2f57d67c80,Diferente
EFS929-002.bam.bai,,d0ca50c0a0e6ab3d7a4bf8c5f6612936,Diferente
IZU959-001.bam,,5d92188f3c1db411a5908676c700ac5f,Diferente
IZU959-001.bam.bai,,2d0122907dd35ce8dcdb1752cdc750f6,Diferente
IZU959-002.bam,,99c1b61d3633885f1ec44d2cb73fbdb8,Diferente
IZU959-002.bam.bai,,c3829fcba558306e9cd836a423ef940e,Diferente
JPX880-001.bam,,f01edd37331f5b3ce5055b2431489022,Diferente
JPX880-001.bam.bai,,66c9e384af04e47680ab58058ef999aa,Diferente
JPX880-002.bam,,7041b6f3f007bb0e199b08a66a88941e,Diferente
JPX880-002.bam.bai,,7c5dd68eba7a512ad17d0f7eaea9efbb,Diferente
KPX963-001.bam,,efd97144c6a17fab54012ebc540e2135,Diferente
KPX963-001.bam.bai,,71b1f13272545fcb9d6894f630176714,Diferente
KPX963-002.bam,,6f07dccacc682ee86a6784e9162ed7ff,Diferente
